No.,NAMA USAHA,JENIS,BARANG UNGGULAN,ALAMAT,NAMA PEMILIK,No. TLP,Media Promosi,LONGITUDE,LATITUDE,JENIS WILAYAH BANGUNAN
63,TB. BJL,TK. BESI,BAJA.,JL. RAYA LIMBANGAN,EGI,0821 1876 6667,-,107.9826173,-7.0365931,"TOKO/SUPLIER BAHAN KAYU, BESI, PAVING DLL"
64,TB. METAL,,MATERIAL HEIBEL.,KP. SUKACAIH SUKAMUKTI CISOMPET,H. JANA,85224579934,FB dan IG.,107.812821,-7.549391,TOKO BANGUNAN WILAYAH SELATAN
65,TB SATRIA,,,JLN RAYA CISOMPET,H. NOVA.,82129530353,-,107.8080316,-7.5497682,TOKO BANGUNAN WILAYAH SELATAN
66,TB. INDAH JAYA PUTRA,,KERAMIK,JLN CIKAJANG NO. 4.,BUDIMAN. S.,82266222055,-,107.799287,-7.3405533,TOKO BANGUNAN WILAYAH SELATAN
67,TB. SARIMUKTI,,MATERIAL,KP. PAMEGATAN CIKAJANG,WAHYU.,81224630890,FB.,107.8329641,-7.3931781,TOKO BANGUNAN WILAYAH SELATAN
68,TB. PUTRA LUYU,,MATERIAL,KP KADONGDONG BANJARWANGI,RUHYAT,8991723447,-,107.9010723,-7.4184704,TOKO BANGUNAN WILAYAH SELATAN
69,TB HIKMAT.,,,JLN RAYA SINGAJAYA,Hidayat.,82129542045,-,107.899454,-7.460178,TOKO BANGUNAN WILAYAH SELATAN
70,AM PUTRA,,MATERIAL,JAYAMUKTI CIHURIP.,ENDANG,82260396318,-,107.861966,-7.50331,TOKO BANGUNAN WILAYAH SELATAN
71,BUNGSU MANDIRI,,MATERIAL,JLN. BARUKAWUNG SARIBAKTI PEUNDEUY,IRAWAN,82128544800,-,107.8835913,-7.4783427,TOKO BANGUNAN WILAYAH SELATAN
72,HRS JAYA,,MATERIAL,JL. CINTA NAGARA PAKENJENG,H. ABD. KODIR,85315884013,-,107.6107914,-7.5780937,TOKO BANGUNAN WILAYAH SELATAN
73,EKA JAYA.,,MATERIAL,JL RAJAWALI BUNGBULANG,,8522095599,-,107.597894,-7.4573486,TOKO BANGUNAN WILAYAH SELATAN
74,ANUGERAH,,,MEKARMUKTI,ADI AB,85222782230,-,107.5718127,-7.5545403,TOKO BANGUNAN WILAYAH SELATAN
75,TB BERSAMA,,MATERIAL,CIEURIH CIKELET,Dede Ugin,85320320321,-,107.6751881,-7.6249942,TOKO BANGUNAN WILAYAH SELATAN
76,TB RANCABUAYA,,MATERIAL,JLN RANCABUAYA CARINGIN,Dika,82141190144,-,107.483609,-7.5233274,TOKO BANGUNAN WILAYAH SELATAN
77,TB CIBAJING,,MATERIAL,JLN CIBAJING CIBALUK CIBALONG,Endang .R,85420452957,-,107.7527142,-7.6432589,TOKO BANGUNAN WILAYAH SELATAN
78,RIMBA JAYA.,,MATERIAL,ALUN-ALUN TALEGONG,Dera Ayu.,82115216266,-,107.527634,-7.287968,TOKO BANGUNAN WILAYAH SELATAN
